case,PV_ITC_outlay_2024B,PV_rental_transfer_2024B,outlay_over_rental
large100_aj_p50,100.4,589.2,0.17
large100_cop28_p50,575.7,743.6,0.77
large100_eia_p50,69.6,335.0,0.21
large100_eo_p50,876.9,927.0,0.95
large100_iaea_p50,234.9,617.9,0.38
large100_mck_p50,299.9,641.6,0.47
smr100_aj_p05,25.4,9.5,2.67
smr100_aj_p50,84.3,32.7,2.58
smr100_aj_p95,145.3,58.4,2.49
smr100_cop28_p05,96.5,31.9,3.03
smr100_cop28_p50,411.5,190.8,2.16
smr100_cop28_p95,830.9,419.0,1.98
smr100_eia_p05,19.5,5.6,3.48
smr100_eia_p50,57.8,31.1,1.86
smr100_eia_p50_eq,57.8,31.1,1.86
smr100_eia_p95,97.1,56.7,1.71
smr100_eo_p05,149.5,56.8,2.63
smr100_eo_p50,628.9,331.9,1.89
smr100_eo_p95,1268.8,673.2,1.88
smr100_iaea_p05,53.9,23.6,2.28
smr100_iaea_p50,181.4,91.8,1.98
smr100_iaea_p95,343.9,204.8,1.68
smr100_mck_p05,61.0,24.3,2.51
smr100_mck_p50,231.4,116.3,1.99
smr100_mck_p95,443.3,237.4,1.87
