i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,5500.0,118.0,2.2,9.18
Nuclear-SMR,2031,5500.0,118.0,2.2,9.18
Nuclear-SMR,2032,3942.3,118.0,2.2,9.18
Nuclear-SMR,2033,3351.0,118.0,2.2,9.18
Nuclear-SMR,2034,3006.5,118.0,2.2,9.18
Nuclear-SMR,2035,2771.1,118.0,2.2,9.18
Nuclear-SMR,2036,2595.8,118.0,2.2,9.18
Nuclear-SMR,2037,2458.0,118.0,2.2,9.18
Nuclear-SMR,2038,2345.6,118.0,2.2,9.18
Nuclear-SMR,2039,2251.4,118.0,2.2,9.18
Nuclear-SMR,2040,2170.6,118.0,2.2,9.18
Nuclear-SMR,2041,2100.5,118.0,2.2,9.18
Nuclear-SMR,2042,1996.2,118.0,2.2,9.18
Nuclear-SMR,2043,1910.1,118.0,2.2,9.18
Nuclear-SMR,2044,1837.1,118.0,2.2,9.18
Nuclear-SMR,2045,1773.9,118.0,2.2,9.18
Nuclear-SMR,2046,1718.5,118.0,2.2,9.18
Nuclear-SMR,2047,1669.6,118.0,2.2,9.18
Nuclear-SMR,2048,1625.5,118.0,2.2,9.18
Nuclear-SMR,2049,1585.7,118.0,2.2,9.18
Nuclear-SMR,2050,1544.2,118.0,2.2,9.18
