i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,6755.2,136.0,2.6,9.18
Nuclear-SMR,2031,6683.7,136.0,2.6,9.18
Nuclear-SMR,2032,6617.1,136.0,2.6,9.18
Nuclear-SMR,2033,6554.8,136.0,2.6,9.18
Nuclear-SMR,2034,6496.4,136.0,2.6,9.18
Nuclear-SMR,2035,6437.7,136.0,2.6,9.18
Nuclear-SMR,2036,6382.5,136.0,2.6,9.18
Nuclear-SMR,2037,6330.5,136.0,2.6,9.18
Nuclear-SMR,2038,6281.2,136.0,2.6,9.18
Nuclear-SMR,2039,6234.4,136.0,2.6,9.18
Nuclear-SMR,2040,6190.0,136.0,2.6,9.18
Nuclear-SMR,2041,6142.3,136.0,2.6,9.18
Nuclear-SMR,2042,6097.1,136.0,2.6,9.18
Nuclear-SMR,2043,6054.0,136.0,2.6,9.18
Nuclear-SMR,2044,6013.0,136.0,2.6,9.18
Nuclear-SMR,2045,5973.8,136.0,2.6,9.18
Nuclear-SMR,2046,5936.3,136.0,2.6,9.18
Nuclear-SMR,2047,5900.4,136.0,2.6,9.18
Nuclear-SMR,2048,5865.7,136.0,2.6,9.18
Nuclear-SMR,2049,5823.2,136.0,2.6,9.18
Nuclear-SMR,2050,5774.9,136.0,2.6,9.18
