i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,10000.0,216.0,2.8,9.18
Nuclear-SMR,2031,9925.7,216.0,2.8,9.18
Nuclear-SMR,2032,9860.2,216.0,2.8,9.18
Nuclear-SMR,2033,9801.8,216.0,2.8,9.18
Nuclear-SMR,2034,9749.0,216.0,2.8,9.18
Nuclear-SMR,2035,9694.9,216.0,2.8,9.18
Nuclear-SMR,2036,9645.7,216.0,2.8,9.18
Nuclear-SMR,2037,9600.5,216.0,2.8,9.18
Nuclear-SMR,2038,9558.4,216.0,2.8,9.18
Nuclear-SMR,2039,9519.3,216.0,2.8,9.18
Nuclear-SMR,2040,9483.0,216.0,2.8,9.18
Nuclear-SMR,2041,9445.2,216.0,2.8,9.18
Nuclear-SMR,2042,9409.7,216.0,2.8,9.18
Nuclear-SMR,2043,9376.6,216.0,2.8,9.18
Nuclear-SMR,2044,9343.1,216.0,2.8,9.18
Nuclear-SMR,2045,9311.7,216.0,2.8,9.18
Nuclear-SMR,2046,9283.3,216.0,2.8,9.18
Nuclear-SMR,2047,9255.7,216.0,2.8,9.18
Nuclear-SMR,2048,9227.6,216.0,2.8,9.18
Nuclear-SMR,2049,9194.8,216.0,2.8,9.18
Nuclear-SMR,2050,9160.1,216.0,2.8,9.18
