i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,6397.1,136.0,2.6,9.18
Nuclear-SMR,2031,6216.4,136.0,2.6,9.18
Nuclear-SMR,2032,6069.5,136.0,2.6,9.18
Nuclear-SMR,2033,5946.2,136.0,2.6,9.18
Nuclear-SMR,2034,5840.2,136.0,2.6,9.18
Nuclear-SMR,2035,5747.4,136.0,2.6,9.18
Nuclear-SMR,2036,5665.1,136.0,2.6,9.18
Nuclear-SMR,2037,5591.2,136.0,2.6,9.18
Nuclear-SMR,2038,5524.4,136.0,2.6,9.18
Nuclear-SMR,2039,5463.3,136.0,2.6,9.18
Nuclear-SMR,2040,5407.2,136.0,2.6,9.18
Nuclear-SMR,2041,5307.3,136.0,2.6,9.18
Nuclear-SMR,2042,5220.3,136.0,2.6,9.18
Nuclear-SMR,2043,5143.4,136.0,2.6,9.18
Nuclear-SMR,2044,5074.6,136.0,2.6,9.18
Nuclear-SMR,2045,5012.5,136.0,2.6,9.18
Nuclear-SMR,2046,4955.9,136.0,2.6,9.18
Nuclear-SMR,2047,4904.0,136.0,2.6,9.18
Nuclear-SMR,2048,4856.0,136.0,2.6,9.18
Nuclear-SMR,2049,4809.1,136.0,2.6,9.18
Nuclear-SMR,2050,4763.4,136.0,2.6,9.18
