i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8000.0,136.0,2.6,9.18
Nuclear-SMR,2031,8000.0,136.0,2.6,9.18
Nuclear-SMR,2032,6715.7,136.0,2.6,9.18
Nuclear-SMR,2033,6140.1,136.0,2.6,9.18
Nuclear-SMR,2034,5778.6,136.0,2.6,9.18
Nuclear-SMR,2035,5519.1,136.0,2.6,9.18
Nuclear-SMR,2036,5318.7,136.0,2.6,9.18
Nuclear-SMR,2037,5156.5,136.0,2.6,9.18
Nuclear-SMR,2038,5021.0,136.0,2.6,9.18
Nuclear-SMR,2039,4905.0,136.0,2.6,9.18
Nuclear-SMR,2040,4804.0,136.0,2.6,9.18
Nuclear-SMR,2041,4714.7,136.0,2.6,9.18
Nuclear-SMR,2042,4574.1,136.0,2.6,9.18
Nuclear-SMR,2043,4456.2,136.0,2.6,9.18
Nuclear-SMR,2044,4355.0,136.0,2.6,9.18
Nuclear-SMR,2045,4266.6,136.0,2.6,9.18
Nuclear-SMR,2046,4188.2,136.0,2.6,9.18
Nuclear-SMR,2047,4118.1,136.0,2.6,9.18
Nuclear-SMR,2048,4054.1,136.0,2.6,9.18
Nuclear-SMR,2049,3996.0,136.0,2.6,9.18
Nuclear-SMR,2050,3934.0,136.0,2.6,9.18
